participant_id,expert_group,age,experience,image,study,dr_score,dmo_score,dr_grade,dmo_grade,time_sec,zoom_1.0,zoom_1.5,zoom_2.25,zoom_3.375,zoom_5.0625,zoom_7.59375,zoom_11.390625,zoom_17.0859375
1198,Optometrist,32,7,007-0051-000_1140x848,thinkaloud,0,0,0,0,84.06934000000001,2522,5766,856,1627,1280,0,0,0
1198,Optometrist,32,7,007-0321-000_1140x848,thinkaloud,0,0,0,0,56.97607000000016,636,1286,988,5263,0,0,0,0
1198,Optometrist,32,7,007-1811-100_1140x848,thinkaloud,0,100,1,-1,95.57201999999961,3149,7938,1100,1018,456,0,0,0
1198,Optometrist,32,7,007-2403-100_1140x848,thinkaloud,1,1,2,0,66.13184000000001,1176,3303,1381,2243,272,798,81,240
1198,Optometrist,32,7,007-2705-100_1140x848,thinkaloud,0,1,1,0,41.1076700000001,168,898,2467,2036,361,0,0,0
1198,Optometrist,32,7,007-2763-100_1140x848,thinkaloud,1,100,2,-1,72.16894999999977,519,7849,926,932,0,0,0,0
1198,Optometrist,32,7,007-4290-200_1140x848,thinkaloud,1,2,3,1,57.29102000000012,2328,824,923,3943,0,0,0,0
1198,Optometrist,32,7,007-6520-400_1140x848,thinkaloud,0,4,4,3,36.13696000000027,1332,2104,110,1279,0,0,0,0
1198,Optometrist,32,7,007-7175-400_1140x848,thinkaloud,0,4,4,3,79.42896000000019,1327,4330,361,5162,259,0,0,0
1198,Optometrist,32,7,20170609154552424_1140x848,thinkaloud,0,1,1,0,64.57898,625,5277,512,1660,1153,0,0,0
1198,Optometrist,32,7,007-0028-000_1140x848,tracking,0,0,0,0,34.59705000000008,242,924,0,3767,0,0,0,0
1198,Optometrist,32,7,007-0055-000_1140x848,tracking,0,0,0,0,28.434570000000008,712,0,0,3296,0,0,0,0
1198,Optometrist,32,7,007-0142-000_1140x848,tracking,2,100,2,-1,48.255010000000084,2385,2192,257,2022,66,0,0,0
1198,Optometrist,32,7,007-0323-000_1140x848,tracking,0,0,0,0,30.230039999999917,453,200,361,3359,0,0,0,0
1198,Optometrist,32,7,007-1774-100_1140x848,tracking,0,4,1,3,52.93945000000008,329,1576,524,4735,373,0,0,0
1198,Optometrist,32,7,007-2252-100_1140x848,tracking,1,1,2,0,28.877079999999978,1309,2304,116,190,13,247,0,0
1198,Optometrist,32,7,007-2469-100_1140x848,tracking,0,1,1,0,21.072940000000017,2939,6,94,7,0,0,0,0
1198,Optometrist,32,7,007-2477-100_1140x848,tracking,0,1,1,0,26.726560000000063,2770,70,67,938,0,0,0,0
1198,Optometrist,32,7,007-2840-100_1140x848,tracking,0,1,1,0,12.981690000000071,763,998,0,97,0,0,0,0
1198,Optometrist,32,7,007-4250-200_1140x848,tracking,2,4,4,3,30.31677000000002,521,1292,0,2577,0,0,0,0
1198,Optometrist,32,7,007-4850-300_1140x848,tracking,0,1,3,0,73.78265999999996,623,5660,1375,2261,679,0,0,0
1198,Optometrist,32,7,007-5457-300_1140x848,tracking,0,100,3,-1,49.601260000000025,1972,3095,1889,70,103,0,0,0
1198,Optometrist,32,7,007-6320-400_1140x848,tracking,0,100,4,-1,41.52319,1153,1308,0,3492,0,0,0,0
1198,Optometrist,32,7,007-6573-400_1140x848,tracking,0,100,4,-1,33.82654000000002,638,1915,1161,612,546,0,0,0
1198,Optometrist,32,7,007-7146-400_1140x848,tracking,0,3,4,2,37.37695999999994,2337,415,0,2618,0,0,0,0
1198,Optometrist,32,7,007-7235-400_1140x848,tracking,0,100,4,-1,61.37707999999998,451,3209,1560,2747,820,0,0,0
1198,Optometrist,32,7,20170502092649506_1140x848,tracking,2,1,4,0,60.17817000000002,853,3973,1493,2231,105,0,0,0
1198,Optometrist,32,7,20170518171333730_1140x848,tracking,0,1,1,0,58.59741000000008,380,4228,1443,1166,1048,154,0,0
1198,Optometrist,32,7,20170519153000176_1140x848,tracking,1,3,4,2,31.811030000000073,340,1759,348,2157,0,0,0,0
1198,Optometrist,32,7,20170521094743135_1140x848,tracking,0,1,2,0,22.807490000000143,268,426,214,2365,0,0,0,0
1620,Optometrist,36,7,007-0051-000_1140x848,thinkaloud,1,0,1,0,45.46704,725,76,0,2479,0,0,0,0
1620,Optometrist,36,7,007-0079-000_1140x848,thinkaloud,0,0,0,0,42.16673999999966,116,0,0,2927,0,0,0,0
1620,Optometrist,36,7,007-0321-000_1140x848,thinkaloud,1,0,1,0,52.68921,689,378,89,2639,6,0,0,0
1620,Optometrist,36,7,007-1811-100_1140x848,thinkaloud,0,1,1,0,35.81908999999996,1041,323,18,1202,0,0,0,0
1620,Optometrist,36,7,007-2403-100_1140x848,thinkaloud,1,1,2,0,39.95020000000022,363,764,172,1584,0,0,0,0
1620,Optometrist,36,7,007-2705-100_1140x848,thinkaloud,0,1,1,0,37.63526000000002,120,1361,669,530,33,0,0,0
1620,Optometrist,36,7,007-2763-100_1140x848,thinkaloud,2,2,3,1,53.88133999999991,126,1740,296,1393,333,0,0,0
1620,Optometrist,36,7,007-2841-100_1140x848,thinkaloud,0,1,1,0,51.646729999999934,209,2747,101,634,34,0,0,0
1620,Optometrist,36,7,007-4290-200_1140x848,thinkaloud,1,3,3,2,76.5595699999999,543,1724,305,2904,46,0,0,0
1620,Optometrist,36,7,007-4991-300_1140x848,thinkaloud,0,4,3,3,65.60790999999995,1277,1511,659,1284,0,0,0,0
1620,Optometrist,36,7,007-6520-400_1140x848,thinkaloud,0,3,4,2,50.51294000000007,295,2149,273,860,48,0,0,0
1620,Optometrist,36,7,007-7017-400_1140x848,thinkaloud,0,4,4,3,42.32018999999991,525,322,6,2022,0,0,0,0
1620,Optometrist,36,7,007-7175-400_1140x848,thinkaloud,0,4,4,3,53.54870000000005,1991,496,392,985,0,0,0,0
1620,Optometrist,36,7,007-7265-400_1140x848,thinkaloud,0,3,4,2,42.708740000000034,1049,1005,0,1027,0,0,0,0
1620,Optometrist,36,7,20170228231807286_1140x848,thinkaloud,0,0,0,0,36.12402999999995,208,1388,74,937,0,0,0,0
1620,Optometrist,36,7,20170511224838938_1140x848,thinkaloud,0,3,2,2,66.6896999999999,159,1205,697,2726,25,0,0,0
1620,Optometrist,36,7,20170512231007763_1140x848,thinkaloud,1,3,4,2,35.278569999999945,184,628,108,1626,0,0,0,0
1620,Optometrist,36,7,20170525111826224_1140x848,thinkaloud,0,2,2,1,21.375,456,39,0,1048,0,0,0,0
